Purchase_Frequency,Average_Order_Value,Anomaly
2,191.89,-1
3,165.85,1
3,190.08,1
7,52.05,1
6,101.14,1
1,174.04,-1
2,179.47,1
11,33.78,1
7,126.16,1
10,42.42,1
7,146.14,1
16,63.96,1
1,29.68,-1
14,65.0,1
7,120.36,1
8,95.2,1
17,39.76,1
3,158.3,1
4,54.22,1
15,75.14,1
11,123.51,1
7,37.1,1
7,184.7,1
18,26.03,1
7,47.53,1
2,123.58,1
1,73.34,1
4,48.99,1
14,68.48,1
16,189.6,1
7,71.09,1
18,48.93,1
12,99.93,1
11,136.11,1
14,149.54,1
2,141.65,1
19,59.41,1
11,159.2,1
4,49.24,1
9,193.78,1
9,39.38,1
18,39.91,1
14,198.69,1
8,26.41,1
13,168.45,1
5,129.83,1
5,153.71,1
17,181.55,1
13,195.19,1
19,130.45,1
1,108.74,1
1,108.02,1
9,151.1,1
7,138.89,1
2,53.47,1
11,69.63,1
16,193.84,1
10,169.82,1
7,147.35,1
14,116.4,1
15,104.15,1
9,75.9,1
8,88.67,1
5,133.42,1
4,103.1,1
3,35.16,1
17,197.18,-1
16,70.64,1
11,179.64,1
19,116.29,1
3,183.55,1
15,143.25,1
11,170.12,1
3,164.86,1
5,65.1,1
4,90.3,1
2,194.83,-1
2,110.34,1
16,115.49,1
17,158.36,1
10,138.58,1
19,27.02,-1
17,93.0,1
14,96.17,1
4,92.8,1
9,143.75,1
14,118.82,1
3,171.05,1
2,43.09,1
12,145.33,1
16,110.23,1
13,156.32,1
3,24.34,-1
3,100.22,1
9,102.94,1
14,133.37,1
14,48.33,1
15,21.58,-1
10,151.24,1
4,88.54,1
7,164.58,1
7,76.1,1
13,85.96,1
5,37.09,1
1,55.18,1
15,190.02,1
5,48.78,1
9,32.1,1
2,93.79,1
11,96.64,1
18,134.69,1
19,174.35,1
8,111.57,1
17,45.27,1
4,52.33,1
9,47.36,1
6,150.89,1
13,36.46,1
17,145.82,1
5,75.56,1
13,42.04,1
12,155.3,1
7,148.45,1
8,186.44,1
1,189.94,-1
14,101.39,1
10,32.18,1
10,171.45,1
18,156.89,1
5,109.7,1
5,88.9,1
18,60.97,1
11,75.22,1
18,107.89,1
10,161.87,1
1,122.88,1
19,117.02,1
4,141.92,1
5,198.44,1
5,65.01,1
19,195.06,-1
5,81.76,1
10,54.81,1
1,55.0,1
13,35.26,1
4,133.09,1
19,167.3,1
19,88.85,1
9,189.44,1
19,67.25,1
17,136.1,1
19,159.4,1
6,72.67,1
13,36.14,1
18,66.72,1
10,68.19,1
11,103.45,1
1,125.57,1
4,80.0,1
5,198.77,-1
17,38.18,1
14,167.68,1
8,146.57,1
9,160.72,1
19,23.17,-1
18,170.45,1
11,123.86,1
4,150.43,1
5,148.73,1
5,186.47,1
8,162.11,1
14,46.77,1
3,94.76,1
19,162.73,1
3,120.54,1
2,188.35,1
4,100.88,1
17,53.72,1
8,170.93,1
3,199.61,-1
14,179.61,1
19,154.21,1
4,106.27,1
4,118.04,1
16,129.45,1
14,137.87,1
18,191.84,1
18,117.45,1
16,173.59,1
6,39.57,1
6,94.0,1
8,97.22,1
13,92.14,1
12,71.5,1
1,47.0,1
16,187.03,1
11,120.07,1
1,163.89,1
12,198.42,1
9,52.77,1
7,136.2,1
18,125.52,1
15,94.95,1
17,42.03,1
13,135.32,1
17,35.26,1
12,144.63,1
2,55.36,1
6,175.66,1
1,191.86,-1
13,65.02,1
10,162.15,1
4,137.36,1
11,124.08,1
16,38.55,1
4,96.56,1
5,117.94,1
19,71.45,1
11,128.83,1
12,91.24,1
1,189.04,-1
18,89.8,1
2,101.57,1
6,107.73,1
13,71.95,1
14,90.69,1
6,182.74,1
4,121.67,1
10,146.12,1
16,77.94,1
14,42.54,1
18,176.12,1
19,44.92,1
2,120.31,1
2,35.01,1
12,31.21,1
4,32.84,1
11,92.38,1
6,57.53,1
14,26.75,1
7,168.57,1
4,154.56,1
5,148.65,1
2,38.99,1
10,38.35,1
11,96.83,1
6,50.45,1
8,37.46,1
6,39.48,1
14,37.35,1
15,139.14,1
2,161.73,1
19,185.23,-1
2,41.76,1
8,155.6,1
11,117.52,1
10,199.39,1
14,44.04,1
7,166.53,1
14,33.24,1
2,34.05,1
8,40.81,1
17,181.15,1
4,54.09,1
2,154.38,1
4,144.82,1
16,76.98,1
4,102.41,1
3,36.27,1
9,112.0,1
12,77.82,1
2,24.96,-1
16,50.16,1
13,159.49,1
15,194.94,1
18,136.16,1
5,97.26,1
13,115.67,1
11,131.6,1
5,134.99,1
10,184.56,1
15,118.11,1
10,127.29,1
19,70.75,1
1,42.63,1
16,136.02,1
17,125.17,1
10,116.15,1
7,119.13,1
3,96.47,1
19,141.42,1
9,117.72,1
6,170.37,1
3,149.74,1
1,159.54,1
17,55.25,1
17,199.31,-1
9,145.88,1
2,20.5,-1
2,68.02,1
14,196.63,1
3,185.31,1
15,20.71,-1
18,63.96,1
6,36.96,1
14,37.54,1
19,58.45,1
3,47.95,1
14,74.94,1
5,26.75,1
15,131.75,1
7,40.45,1
11,168.62,1
3,25.09,-1
11,95.64,1
4,86.71,1
9,190.31,1
1,75.36,1
9,164.78,1
16,56.58,1
1,64.7,1
3,112.41,1
12,159.39,1
19,27.93,-1
3,127.09,1
3,98.44,1
12,61.92,1
7,131.55,1
15,192.93,1
14,43.97,1
7,92.06,1
4,38.24,1
5,165.02,1
13,78.76,1
7,86.16,1
18,166.61,1
11,93.48,1
18,135.55,1
8,69.88,1
2,47.67,1
14,159.72,1
6,198.54,-1
5,40.0,1
17,39.65,1
13,143.07,1
16,109.29,1
3,111.79,1
4,48.69,1
7,69.29,1
2,114.7,1
7,40.54,1
9,28.8,1
18,119.64,1
4,98.04,1
9,121.21,1
16,157.22,1
15,66.36,1
17,152.93,1
5,145.76,1
5,58.24,1
4,94.09,1
11,142.54,1
17,151.54,1
10,86.26,1
16,116.22,1
4,48.56,1
15,191.72,1
19,57.82,1
15,115.93,1
14,164.12,1
6,184.36,1
5,73.84,1
11,74.56,1
19,109.96,1
15,147.92,1
5,139.61,1
7,26.41,1
18,40.32,1
17,54.72,1
7,115.82,1
6,188.97,1
15,146.81,1
5,95.71,1
3,112.62,1
4,94.65,1
10,114.27,1
1,170.69,1
7,41.72,1
14,149.46,1
19,44.26,1
6,198.76,-1
16,97.5,1
18,105.91,1
11,79.55,1
5,172.11,1
9,35.26,1
10,151.73,1
13,100.42,1
13,145.58,1
6,81.51,1
13,191.23,1
8,90.56,1
17,161.81,1
16,76.09,1
18,99.12,1
7,186.55,1
7,165.17,1
14,92.2,1
2,46.41,1
14,61.53,1
3,139.98,1
18,170.38,1
12,51.25,1
2,37.27,1
1,173.41,-1
9,163.64,1
15,134.65,1
8,30.92,1
3,69.11,1
8,114.04,1
13,76.9,1
7,178.69,1
2,196.21,-1
2,186.87,1
15,154.3,1
9,191.3,1
6,70.47,1
11,88.61,1
15,112.18,1
14,69.94,1
18,36.99,1
2,163.81,1
5,139.04,1
19,142.68,1
8,151.79,1
7,81.54,1
18,102.76,1
15,96.72,1
17,97.36,1
17,55.74,1
17,150.73,1
13,112.21,1
14,83.67,1
15,25.0,1
10,151.53,1
13,134.13,1
12,159.69,1
9,177.87,1
4,88.58,1
16,103.73,1
10,32.73,1
4,109.21,1
5,116.63,1
18,28.32,1
4,66.03,1
4,180.42,1
3,176.54,1
4,54.35,1
6,84.24,1
9,63.18,1
2,123.43,1
14,72.08,1
2,28.42,-1
14,78.09,1
10,153.93,1
19,130.86,1
6,91.14,1
16,181.24,1
9,34.29,1
13,41.29,1
18,40.65,1
12,129.58,1
19,101.93,1
10,68.15,1
16,77.6,1
8,39.71,1
16,135.15,1
4,53.87,1
9,98.07,1
7,126.02,1
14,28.19,1
11,35.82,1
13,28.23,1
7,163.46,1
8,93.08,1
17,86.34,1
8,25.97,1
2,192.81,-1
7,60.85,1
19,40.42,1
18,54.82,1
3,78.79,1
12,56.03,1
1,168.73,1
16,185.35,1
7,171.3,1
11,113.62,1
1,106.7,1
12,152.14,1
4,22.51,1
14,139.48,1
18,190.4,1
8,127.36,1
11,100.64,1
8,27.11,1
14,149.41,1
5,108.96,1
8,184.72,1
19,173.86,1
6,73.41,1
16,34.78,1
16,148.62,1
5,133.49,1
4,110.96,1
9,49.91,1
4,133.37,1
4,49.14,1
2,129.24,1
2,63.34,1
2,80.73,1
4,93.22,1
5,173.35,1
3,116.75,1
3,179.46,1
7,118.22,1
16,144.0,1
15,142.62,1
4,36.69,1
10,194.54,1
3,136.28,1
19,199.06,-1
14,99.06,1
14,191.73,1
12,23.48,1
9,44.62,1
12,148.45,1
11,162.17,1
14,55.53,1
8,161.84,1
17,171.76,1
9,31.19,1
4,171.51,1
19,150.15,1
5,71.99,1
18,24.29,-1
17,153.45,1
15,49.9,1
1,46.87,1
19,89.22,1
7,109.9,1
1,114.44,1
16,49.49,1
6,100.55,1
1,29.62,-1
11,189.03,1
3,84.57,1
17,74.09,1
12,188.57,1
3,163.09,1
9,64.41,1
8,106.45,1
5,119.13,1
13,41.11,1
4,50.66,1
1,195.27,-1
16,30.58,1
10,68.46,1
19,109.48,1
11,56.1,1
6,166.31,1
15,150.53,1
2,98.07,1
1,132.7,1
17,193.58,1
8,43.14,1
18,138.1,1
13,45.72,1
16,23.3,1
19,102.78,1
9,162.73,1
15,140.93,1
13,30.98,1
4,159.5,1
18,127.05,1
8,181.32,1
18,33.93,1
17,31.63,1
10,154.59,1
10,121.48,1
6,53.26,1
11,94.99,1
1,68.25,1
18,199.45,-1
8,135.15,1
10,184.99,1
10,45.85,1
10,61.13,1
10,27.68,1
11,121.44,1
13,64.43,1
17,111.89,1
4,74.43,1
19,133.91,1
7,54.89,1
8,80.74,1
3,183.23,1
10,130.75,1
18,76.91,1
3,33.5,1
9,119.42,1
14,46.11,1
2,66.73,1
10,163.54,1
17,183.59,1
8,22.8,1
3,132.63,1
7,97.76,1
14,101.68,1
10,196.06,1
9,72.87,1
18,122.91,1
18,172.02,1
15,129.45,1
8,41.38,1
7,49.23,1
19,67.86,1
11,157.82,1
12,41.48,1
9,107.57,1
5,145.78,1
19,79.91,1
12,185.63,1
18,169.79,1
5,159.39,1
7,41.93,1
16,145.61,1
2,138.79,1
5,72.67,1
2,187.82,1
18,168.89,1
4,80.86,1
17,124.5,1
12,111.21,1
12,123.1,1
9,27.67,1
3,34.08,1
12,56.46,1
15,83.03,1
3,168.23,1
18,160.29,1
15,92.68,1
4,188.09,1
1,139.02,1
3,76.35,1
16,150.77,1
4,71.66,1
11,57.88,1
4,169.0,1
5,75.69,1
19,24.86,-1
19,169.45,1
14,177.26,1
2,60.91,1
19,138.76,1
5,50.19,1
6,107.71,1
10,43.51,1
17,147.05,1
18,158.09,1
5,56.16,1
18,75.01,1
18,106.49,1
19,195.9,-1
8,199.66,1
12,65.69,1
11,82.24,1
6,168.98,1
3,75.35,1
12,111.57,1
15,94.7,1
19,60.48,1
18,26.11,1
16,109.45,1
2,170.39,1
1,95.88,1
18,67.7,1
12,109.88,1
18,54.67,1
18,192.54,1
8,172.58,1
6,63.99,1
15,25.45,1
13,141.14,1
5,107.65,1
18,182.44,1
8,38.32,1
4,22.37,1
18,24.64,-1
17,127.09,1
7,114.57,1
15,178.35,1
2,141.2,1
8,100.5,1
2,191.72,-1
14,179.18,1
17,116.82,1
5,53.14,1
16,123.75,1
3,124.96,1
1,26.66,-1
9,65.78,1
10,78.17,1
8,47.23,1
8,21.25,1
19,48.53,1
2,100.64,1
15,190.0,1
15,190.66,1
19,63.22,1
9,87.61,1
10,113.45,1
6,143.55,1
10,53.24,1
8,152.97,1
18,56.61,1
13,80.98,1
2,51.94,1
6,144.81,1
8,184.17,1
19,73.63,1
1,68.54,1
1,180.8,-1
9,154.37,1
14,162.18,1
19,66.83,1
15,173.95,1
19,173.73,1
19,122.01,1
5,129.17,1
17,59.68,1
2,67.59,1
19,66.33,1
7,32.46,1
17,181.41,1
7,47.81,1
3,40.27,1
6,127.9,1
3,172.2,1
13,73.63,1
3,107.71,1
17,156.77,1
2,149.33,1
3,135.79,1
5,159.4,1
10,79.27,1
12,159.17,1
15,108.4,1
15,137.06,1
5,148.01,1
15,152.55,1
17,157.4,1
14,197.98,1
15,189.93,1
17,114.91,1
6,67.76,1
11,183.08,1
1,179.35,-1
2,177.1,1
8,166.23,1
16,45.61,1
2,135.81,1
5,127.13,1
8,52.44,1
19,70.11,1
13,158.85,1
17,173.14,1
10,126.44,1
12,141.29,1
19,20.82,-1
14,178.52,1
6,105.7,1
18,145.9,1
17,56.7,1
15,53.59,1
1,78.14,1
9,119.92,1
16,164.6,1
1,57.04,1
19,55.71,1
2,119.15,1
15,112.35,1
10,45.6,1
14,165.27,1
17,140.13,1
17,116.03,1
5,26.37,1
8,70.91,1
17,74.59,1
11,48.79,1
2,185.52,1
18,147.21,1
3,95.14,1
4,40.11,1
5,174.5,1
19,103.17,1
7,61.63,1
17,48.18,1
18,136.38,1
5,194.0,1
8,94.97,1
5,85.75,1
17,44.52,1
1,21.0,-1
8,112.11,1
10,112.39,1
16,138.17,1
10,157.95,1
2,110.18,1
17,33.54,1
4,184.67,1
15,132.03,1
1,110.46,1
19,149.64,1
1,172.39,1
4,89.87,1
9,101.61,1
7,153.9,1
3,183.16,1
15,140.94,1
3,131.04,1
1,137.02,1
17,110.11,1
19,70.32,1
6,99.68,1
4,143.08,1
13,46.23,1
19,131.3,1
3,120.16,1
10,91.23,1
9,158.57,1
15,89.83,1
18,196.08,-1
18,50.17,1
10,53.69,1
12,168.16,1
8,64.71,1
14,143.25,1
15,98.14,1
12,92.4,1
7,74.4,1
8,73.82,1
15,157.81,1
3,42.15,1
8,44.16,1
7,25.26,1
19,168.63,1
8,171.04,1
13,24.19,1
12,28.16,1
13,96.1,1
1,24.43,-1
11,177.41,1
1,184.35,-1
11,113.02,1
9,135.84,1
19,125.77,1
7,95.3,1
14,169.63,1
2,145.82,1
6,74.63,1
7,142.08,1
4,32.88,1
19,123.4,1
4,178.31,1
11,163.39,1
13,172.89,1
7,102.48,1
19,107.75,1
18,20.5,-1
4,194.96,1
14,102.26,1
3,71.92,1
2,124.34,1
13,187.54,1
5,38.68,1
14,184.27,1
10,175.95,1
2,144.98,1
11,142.42,1
5,180.71,1
3,25.19,-1
6,104.96,1
8,177.32,1
14,186.39,1
15,85.33,1
19,171.86,1
4,170.92,1
12,153.35,1
14,159.33,1
17,60.94,1
15,21.64,-1
9,21.04,-1
17,76.64,1
3,165.13,1
18,156.35,1
15,188.61,1
18,156.58,1
1,145.85,1
12,78.52,1
10,21.06,-1
17,83.8,1
15,116.1,1
14,174.74,1
11,102.66,1
4,70.03,1
10,121.21,1
11,114.68,1
9,101.55,1
13,185.76,1
9,170.67,1
2,111.7,1
6,150.42,1
10,184.1,1
14,167.69,1
15,94.97,1
6,135.9,1
4,83.17,1
18,99.45,1
2,176.42,1
13,82.99,1
11,115.79,1
18,176.42,1
13,76.27,1
17,142.44,1
12,141.18,1
14,94.43,1
12,96.34,1
18,167.15,1
17,116.81,1
19,47.69,1
8,109.08,1
18,177.95,1
18,113.24,1
7,151.7,1
1,172.88,1
8,94.88,1
19,153.2,1
12,162.62,1
7,83.22,1
2,72.47,1
9,52.08,1
12,113.29,1
3,154.96,1
17,83.1,1
14,86.94,1
11,182.71,1
8,148.55,1
1,99.99,1
6,29.16,1
13,56.26,1
12,94.47,1
12,76.74,1
10,47.05,1
12,79.13,1
1,57.75,1
7,182.06,1
12,52.89,1
12,46.66,1
5,68.56,1
4,193.48,1
11,151.58,1
10,196.37,1
9,131.44,1
15,24.05,1
